"centre_code","centre_name"
"1101","MUYOMBE HIGH G.C.E. CENTRE"
"1102","SENGA HILL SECONDARY G.C.E. CENTRE"
"1111","CHOICE SECONDARY"
"1121","MUNGWI G.C.E. CENTRE"
"1122","ST. FRANCIS G.C.E. CENTRE"
"1123","LUBUSHI G.C.E. CENTRE"
"1124","ISOKA G.C.E. CENTRE"
"1125","KASAMA GIRLS G.C.E. CENTRE"
"1126","LWITIKILA GIRLS G.C.E. CENTRE"
"1127","MBALA G.C.E. CENTRE"
"1128","KENNETH KAUNDA G.C.E. CENTRE"
"1129","MPOROKOSO G.C.E. CENTRE"
"1130","LUWINGU G.C.E. CENTRE"
"1131","MPIKA BOYS G.C.E. CENTRE"
"1132","CHINSALI GIRLS G.C.E. CENTRE"
"1133","KASAMA BOYS G.C.E. CENTRE"
"1134","MWENZO G.C.E. CENTRE"
"1137","CHILUBULA G.C.E. CENTRE"
"1171","ITUNA SECONDARY SCHOOL GCE CENTRE"
"1172","KASAMA S.C.E. GCE CENTRE"
"1173","MUCHINGA HIGH  SCH GCE CENT"
"1174","CHITULIKA HIGH  SCH. GCE CENTRE"
"1175","CHILUBI SECONDARY SCHOOL GCE CENTRE"
"1176","KAPUTA SECONDARY  SCHOOL GCE CENTRE"
"1190","LAURA GIRLS' SECONDARY SCHOOL GCE"
"1196","MPULUNGU SECONDARY SCH GCE"
"1226","NAKONDE SECONDARY SCHOOL"
"1293","KALWALA SECONDARY SCHOOL"
"1298","LUNTE GIRLS TECHNICAL SECONDARY SCHOOL GCE"
"1299","KAPILILONGA SECONDARY SCHOOL GCE"
"1300","SHIWANG'ANDU SECONDARY SCHOOL GCE"
"1301","ILONDOLA SECONDARY SCHOOL GCE"
"1560","MUNUNGA DAY SECONDARY SCHOOL GCE"
"1568","KABALE DAY SECONDARY GCE"
"1570","NSUMBU DAY SECONDARY SCHOOL GCE"
"1571","KAMPINDA DAY SECONDARY GCE"
"1572","MUNWA GCE CENTRE"
"1573","KASEPA DAY SECONDARY GCE"
"1574","LUCHECHE SECONDARY"
"1575","KAYAMBI SECONDARY GCE"
"1576","CHISALI DAY SECONDARY GCE"
"1577","HENRY KAPATA SECONDARY GCE"
"1653","CHILONGA DAY SECONDARY"
"1660","THENDELE GCE"
"1662","KAOMBWE SEC GCE"
"1663","SHEM SECONDARY GCE"
"1664","IKAWA SEC GCE"
"1665","NTATUMBILA DAY GCE"
"1668","KATOZI DAY SECONDARY"
"1669","KABANDA DAY SECONDARY GCE"
"1670","MULAKATEMBO SECONDARY"
"1673","KALUNGU DAY SECONDARY GCE"
"1675","MULANGA DAY SECONDARY GCE"
"1677","WAITWIKA SECONDARY GCE"
"1678","NTEKO SECONDARY GCE"
"1682","JOHN MUBANGA SECONDARY GCE"
"1683","CHALABESA SECO SCHOOL GCE"
"1685","CHINSALI DAY SECONDARY SCHOOL GCE"
"1686","SAMU DAY SECONDARY GCE"
"1687","CHIKWA DAY SECONDARY GCE"
"1688","KASEYA DAY SECONDARY GCE"
"1689","CHITHEBA DAY SECONDARY GCE"
"1691","CHUNDAPONDE SECONDARY GCE"
"1695","NABWALYA SECONDARY SCHOOL"
"1696","YOLO SECONDARY SCHOOL"
"1697","KOPA DAY SECONDARY"
"1699","SALAMO DAY GCE"
"1701","KATIBUNGA SECONDARY SCHOOL GCE"
"1702","NTINDI SECONDARY SCHOOL GCE"
"1703","MPIKA DAY SECONDARY GCE"
"1704","CHISHIMBA DAY SECONDARY GCE"
"1705","NSUMBU SECONDARY GCE"
"1707","LUPOSOSHI BOARDING SCHOOL"
"1713","MUSENGA DAY SECONDARY"
"1715","CHILUBI MAINLAND BOARDING SCHOOL GCE"
"1716","MATIPA SECONDARY SCHOOL GCE"
"1717","CHABA SECONDARY SCHOOL GCE"
"1722","MAKASA SECONDARY SCHOOL GCE"
"1723","MAMBWE MISSION DAY SECONDARY SCHOOL GCE"
"1724","LUKASHYA SECONDARY SCHOOL GCE"
"1725","LUALUA SECONDARY SCHOOL GCE"
"1726","KAPATU SECONDARY SCHOOL GCE"
"1728","MUSA SECONDARY SCHOOL GCE"
"1734","CHITIMBWA DAY SECONDARY SCHOOL GCE"
"1735","LUBUSHI SECONDARY SCHOOL GCE"
"1736","BASILIO MOSENI GCE"
"1737","MUMBA SECONDARY SCHOOL GCE"
"1738","SANTA MARIA DAY SECONDARY SCHOOL GCE"
"1743","NSELUKA SECONDARY SCHOOL GCE"
"1744","KALABWE SECONDARY SCHOOL GCE"
"1745","NIAMUKOLO DAY SECONDARY GCE"
"1746","KAVUMBU DAY SECONDARY SCHOOL GCE"
"1747","KATESHI DAY SECONDARY SCHOOL GCE"
"1748","CHITAMBI DAY SECONDARY SCHOOL GCE"
"1749","NGOLI DAY SECONDARY SCHOOL GCE"
"1757","CHAMBESHI SECONDARY SCHOOL GCE"
"2057","KAWAMBWA G.C.E. CENTRE"
"2058","ST. CLEMENTS G.C.E. CENTRE"
"2059","NCHELENGE G.C.E. CENTRE"
"2060","ST. MARYS G.C.E. CENTRE"
"2061","SAMFYA G.C.E. CENTRE"
"2062","MABEL SHAW G.C.E. CENTRE"
"2063","MWENSE G.C.E. CENTRE"
"2064","MANSA G.C.E. CENTRE"
"2065","LUBWE G.C.E. CENTRE"
"2066","CHIPILI G.C.E. CENTRE"
"2067","TWINGI G.C.E. CENTRE"
"2068","MANSA CENTRE FOR CONT. EDUC."
"2070","LUKWESA BASIC SCH. G.C.E. CENT"
"2076","MABUMBA SECONDARY G.C.E."
"2083","PONDE  HIGH SCHOOL GCE"
"2196","MAMBILIMA SPECIAL SECONDARY SCHOOL GCE"
"2227","DON BOSCO SECONDARY SCHOOL GCE"
"2228","MILENGE SECONDARY SCHOOL GCE"
"2229","MUSONDA GIRLS TECHNICAL SCHOOL GCE"
"2596","LWELA SECONDARY SCHOOL GCE"
"2611","NSAMBA SECONDARY SCHOOL GCE"
"2617","LUMBWE CHOMBA II SECONDARY SCHOOL GCE"
"2618","MUKUMBWA SECONDARY GCE"
"2619","CHIBONDO SECONDARY GCE"
"2620","KALASA MUKOSO SCHOOL GCE"
"2621","MILOKE SECONDARY GCE"
"2622","CHIBOLYA SECONDARY GCE"
"2623","KAZEMBE GCE"
"2624","CHINYANTA SECONDARY GCE"
"2625","MYENGELE GCE"
"2626","MUKAMBA SECONDARY SCHOOL GCE"
"2627","KAMPAMPI SECONDARY GCE"
"2628","KAPALE SECONDARY GCE"
"2630","KUNDAMFUMU SECONDARY SCHOOL GCE"
"2631","LUNCHINDA SECONDARY SCHOOL GCE"
"2632","KEFULWA SECONDARY SCHOOL GCE"
"2634","MATANDA SECONDARY SCHOOL GCE"
"2638","MUNUNGA SECONDARY SCHOOL GCE"
"2639","MANSA TRUST GCE"
"2641","MUSANGU SECONDARY SCHOOL"
"2644","KASABA SECONDARY SCHOOL GCE"
"2652","KASHITA SECONDARY SCHOOL GCE"
"2654","MUNSA SECONDARY SCHOOL GCE"
"2655","CHINSAMBA SECONDARY SCHOOL GCE"
"2656","KEFULWA SECONDARY SCHOOL GCE"
"2662","LUNCHINDA SECONDARY SCHOOL GCE"
"2663","MUNUNGA SECONDARY SCHOOL GCE"
"2666","KALUNDU DAY SECONDARY SCHOOL GCE"
"2675","N'GONA SECONDARY SCHOOL GCE"
"3027","CHOMA DAY HIGH GCE"
"3034","SIAVONGA HIGH GCE"
"3184","HILLCREST G.C.E. CENTRE"
"3185","CANISIUS G.C.E. CENTRE"
"3187","ST. MARYS G.C.E. CENTRE"
"3188","CHOMA G.C.E. CENTRE"
"3189","MONZE G.C.E. CENTRE"
"3190","CHIKANKATA G.C.E. CENTRE"
"3191","LINDA G.C.E. CENTRE"
"3192","ST. JOSEPHS G.C.E. CENTRE"
"3193","ST. EDMUNDS G.C.E. CENTRE"
"3194","NJASE G.C.E. CENTRE"
"3195","CHIPEPO G.C.E. CENTRE"
"3196","KALOMO G.C.E. CENTRE"
"3197","NAMWALA G.C.E. CENTRE"
"3198","RUSANGU G.C.E. CENTRE"
"3199","MAZABUKA GIRLS G.C.E. CENTRE"
"3200","NAMWIANGA G.C.E. CENTRE"
"3202","PEMBA G.C.E. CENTRE"
"3203","JEMBO G.C.E. CENTRE"
"3204","SIKALONGO G.C.E. CENTRE"
"3205","KABANGA G.C.E. CENTRE"
"3206","MASUKU G.C.E. CENTRE"
"3207","MAAMBA MINE G.C.E. CENTRE"
"3208","NAMALUNDU G.C.E. CENTRE"
"3209","MACHA G.C.E. CENTRE"
"3210","ST. RAPHAELS G.C.E. CENTRE"
"3211","CHIKUNI GIRLS G.C.E. CENTRE"
"3212","MAZABUKA CONT. EDUC."
"3213","SIAVONGA G.C.E. CENTRE"
"3214","DAMBWA G.C.E. CENTRE"
"3215","ZIMBA G.C.E. CENTRE"
"3216","FRANCES DAVIDSON G.C.E. CENTRE"
"3217","KAONGA G.C.E. CENTRE"
"3221","MAAMBA HIGH SCHOOL GCE CENTRE"
"3222","LIBUYU BASIC G.C.E. CENTRE"
"3224","DAVID LIVINGSTONE HIGH SCH GCE"
"3226","ITEZHI-TEZHI BASIC SCH. GCE"
